ts,P>1_mean,P>1_max,P>5_mean,P>5_max,P>10_mean,P>10_max,P>30_mean,P>30_max,P>50_mean,P>50_max,P>100_mean,P>100_max,E>0.8_mean,E>0.8_max,E>2.0_mean,E>2.0_max,speed,density,F10.7,група
2017-08-28 00:00:00,9.778333333333334,19.4,0.3249166666666667,0.69,0.19291666666666665,0.314,0.09885,0.224,0.07758333333333332,0.178,0.04069166666666667,0.0793,20941.666666666668,23600.0,1011.5833333333334,1180.0,285.0,3.0,82.0,тиха
2017-08-28 01:00:00,7.994166666666666,13.6,0.2916666666666667,0.512,0.15658333333333332,0.259,0.07258333333333333,0.0919,0.0587,0.0798,0.02995,0.0471,18091.666666666668,20600.0,713.0,907.0,305.0,3.4,82.0,тиха
2017-08-28 02:00:00,6.099166666666666,10.8,0.283,0.479,0.17766666666666667,0.321,0.08445000000000001,0.121,0.06964166666666667,0.111,0.035025,0.0595,14108.333333333334,15000.0,380.8333333333333,475.0,309.0,1.7,82.0,тиха
2017-08-28 03:00:00,4.7525,7.76,0.23683333333333334,0.329,0.16633333333333333,0.244,0.08765833333333334,0.18,0.06809166666666668,0.139,0.03551666666666667,0.0818,12766.666666666666,13100.0,267.9166666666667,284.0,304.0,2.0,82.0,тиха
2017-08-28 04:00:00,4.158333333333334,6.62,0.3349166666666667,0.539,0.20833333333333334,0.309,0.0848,0.153,0.07285,0.142,0.03970833333333334,0.0694,11333.333333333334,12300.0,203.0,234.0,302.0,2.3,82.0,тиха
2017-08-28 05:00:00,2.904166666666667,4.62,0.24033333333333332,0.41,0.1668333333333333,0.284,0.07729166666666666,0.114,0.06369166666666666,0.0932,0.03488333333333333,0.0669,9685.833333333334,10700.0,152.41666666666666,180.0,304.0,2.4,82.0,тиха
2017-08-28 06:00:00,3.421666666666667,4.94,0.28191666666666665,0.43,0.16341666666666668,0.249,0.08384166666666666,0.116,0.06699166666666667,0.106,0.03758333333333334,0.0818,8650.0,9200.0,127.91666666666667,137.0,319.0,3.2,82.0,тиха
2017-08-28 07:00:00,2.9783333333333335,3.93,0.32458333333333333,0.601,0.19666666666666666,0.316,0.10028333333333334,0.165,0.07681666666666666,0.155,0.03933333333333333,0.0769,6424.166666666667,7600.0,95.49166666666667,110.0,319.0,2.8,82.0,тиха
2017-08-28 08:00:00,2.611666666666667,3.96,0.30233333333333334,0.495,0.18775,0.28,0.09535,0.219,0.07446666666666667,0.138,0.03768333333333333,0.062,4602.5,5210.0,70.01666666666667,79.8,319.0,3.2,82.0,тиха
2017-08-28 09:00:00,2.5541666666666667,3.98,0.2936666666666667,0.608,0.17958333333333332,0.258,0.09655833333333334,0.136,0.07619166666666667,0.109,0.03883333333333333,0.0595,4761.666666666667,4960.0,82.34166666666667,89.6,306.0,4.0,82.0,тиха
2017-08-28 10:00:00,2.3874999999999997,3.32,0.2990833333333333,0.491,0.19283333333333333,0.407,0.097425,0.141,0.06743333333333333,0.106,0.038391666666666664,0.0744,4598.333333333333,4950.0,89.7,108.0,305.0,4.0,82.0,тиха
2017-08-28 11:00:00,2.3833333333333333,3.16,0.28758333333333336,0.459,0.1729166666666667,0.326,0.08349166666666667,0.141,0.06394166666666666,0.102,0.03169166666666667,0.0645,5865.833333333333,7240.0,124.83333333333333,156.0,307.0,3.3,82.0,тиха
2017-08-28 12:00:00,2.5124999999999997,3.92,0.25375,0.418,0.16774999999999998,0.257,0.09288333333333333,0.128,0.070075,0.0962,0.04043333333333333,0.0719,9123.333333333334,11000.0,208.41666666666666,246.0,303.0,2.9,82.0,тиха
2017-08-28 13:00:00,3.2541666666666664,4.92,0.3060833333333333,0.671,0.17525,0.358,0.08556666666666667,0.15,0.06236666666666666,0.0892,0.03025833333333333,0.0491,12200.0,13000.0,264.3333333333333,271.0,306.0,2.8,82.0,тиха
2017-08-28 14:00:00,2.5900000000000003,3.28,0.24450000000000002,0.373,0.19325,0.334,0.11379166666666667,0.274,0.09004166666666667,0.184,0.04893333333333333,0.0823,13875.0,14300.0,303.1666666666667,323.0,294.0,3.2,82.0,тиха
